Rang;Reseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
152;Metro;GONCOURT (HOPITAL SAINT-LOUIS) ;3464374;11;;;;;Paris;11
168;Metro;PERNETY;3189684;13;;;;;Paris;14
174;Metro;GAITE;3080750;13;;;;;Paris;14
36;RER;NOGENT-SUR-MARNE;2695342;A;;;;;Nogent-sur-Marne;
61;Metro;ODEON;5926500;4;10;;;;Paris;6
183;Metro;CAMBRONNE;2986628;6;;;;;Paris;15
113;Metro;MAIRIE D'ISSY;4254618;12;;;;;Issy Les Moulineaux;
114;Metro;RAMBUTEAU;4227507;11;;;;;Paris;3
213;Metro;SAINT-SULPICE;2441934;4;;;;;Paris;6
249;Metro;MAISON BLANCHE;2028338;7;;;;;Paris;13
255;Metro;BUZENVAL;1906757;9;;;;;Paris;20
47;RER;LE VESINET-LE PECQ;2017145;A;;;;;Le Vesinet;
120;Metro;LES COURTILLES-ASNIERES-GENNEVILLIERS;4033364;13;;;;;AsniՌres sur Seine;
124;Metro;MAIRIE DE SAINT-OUEN;3905486;13;;;;;Saint Ouen;
12;Metro;HOTEL DE VILLE;12201851;1;11;;;;Paris;4
13;Metro;OPERA;11717705;3;7;8;;;Paris;9
54;Metro;SAINT-PAUL (LE MARAIS);6421101;1;;;;;Paris;4
89;Metro;PLAISANCE;4874104;13;;;;;Paris;14
103;Metro;PORTE DE VANVES;4527498;13;;;;;Paris;14
104;Metro;BALARD;4454198;8;;;;;Paris;15
200;Metro;COURCELLES;2719939;2;;;;;Paris;17
71;Metro;CHATEAU DE VINCENNES;5426141;1;;;;;Vincennes;
81;Metro;RICHELIEU-DROUOT;5101192;8;9;;;;Paris;9
106;Metro;ROBESPIERRE;4421143;9;;;;;Montreuil;
107;Metro;JULES JOFFRIN;4409922;12;;;;;Paris;18
142;Metro;ALEXANDRE DUMAS;3666961;2;;;;;Paris;11
224;Metro;PORTE D'ITALIE;2360419;7;;;;;Paris;13
247;Metro;LOUVRE-RIVOLI;2050455;1;;;;;Paris;1
268;Metro;FILLES DU CALVAIRE;1749843;8;;;;;Paris;3
39;Metro;MADELEINE;6940577;8;12;14;;;Paris;8
51;Metro;JAURES;6475842;2;5;7bis;;;Paris;19
66;Metro;COUR SAINT-EMILION;5781997;14;;;;;Paris;12
134;Metro;VAUGIRARD (ADOLPHE CHERIOU);3740275;12;;;;;Paris;15
237;Metro;BEL-AIR ;2176466;6;;;;;Paris;12
56;RER;LE GUICHET;885211;B;;;;;Orsay;
7;RER;MASSY-PALAISEAU;8594667;B;;;;;Massy;
58;RER;LOZERE;784100;B;;;;;Palaiseau;
269;Metro;SAINT-FRANCOIS-XAVIER;1743488;13;;;;;Paris;7
280;Metro;SULLY-MORLAND;1472158;7;;;;;Paris;4
2;RER;GARE DE LYON-RER;36576706;A;;;;;Paris;12
14;RER;AUBER;6169061;A;;;;;Paris;9
43;RER;LE PARC DE SAINT-MAUR;2068180;A;;;;;Saint-Maur des Fosses;
75;Metro;SEVRES-BABYLONE;5237966;10;12;;;;Paris;7
111;Metro;DENFERT-ROCHEREAU;4277194;4;6;;;;Paris;14
163;Metro;SAINT-PLACIDE;3251968;4;;;;;Paris;6
209;Metro;PARMENTIER;2570537;3;;;;;Paris;11
212;Metro;VOLTAIRE (LEON BLUM);2442576;12;;;;;Paris;15
241;Metro;LA TOUR MAUBOURG;2107616;8;;;;;Paris;7
270;Metro;LIEGE;1676715;13;;;;;Paris;8
289;Metro;SAINT-GEORGES;1229469;12;;;;;Paris;9
46;RER;BRY-SUR-MARNE;2030950;A;;;;;Bry-sur-Marne;
18;Metro;PALAIS ROYAL-MUSEE DU LOUVRE;10060631;1;7;;;;Paris;1
19;Metro;STRASBOURG-SAINT-DENIS;9917647;4;8;9;;;Paris;2
96;Metro;PONT DE SEVRES;4707039;9;;;;;Boulogne Billancourt;
179;Metro;MAIRIE D'IVRY;3003702;7;;;;;Ivry;
16;Metro;BELLEVILLE;11464280;2;11;;;;Paris;10
21;Metro;PLACE DE CLICHY;9186051;2;13;;;;Paris;17
24;Metro;NATION;8939092;1;2;6;9;;Paris;12
49;Metro;PORTE DE VINCENNES;6604200;1;;;;;Paris;12
95;Metro;CHAMPS-ELYSEES-CLEMENCEAU;4714927;1;13;;;;Paris;8
97;Metro;PORTE DE MONTREUIL;4671043;9;;;;;Paris;20
141;Metro;TERNES;3667504;2;;;;;Paris;17
235;Metro;SAINT-MARCEL;2205398;5;;;;;Paris;13
244;Metro;CORVISART;2074560;6;;;;;Paris;13
50;RER;LES BACONNETS;1670479;B;;;;;Antony;
116;Metro;JUSSIEU;4162809;7;10;;;;Paris;5
140;Metro;MARX DORMOY;3676216;12;;;;;Paris;18
165;Metro;CORENTIN CARIOU;3235983;7;;;;;Paris;19
208;Metro;VILLEJUIF-LEO LAGRANGE;2574945;7;;;;;Villejuif;
281;Metro;AVENUE EMILE ZOLA;1470809;10;;;;;Paris;15
285;Metro;KLEBER;1266145;6;;;;;Paris;16
290;Metro;QUAI DE LA RAPEE;1186493;5;;;;;Paris;12
302;Metro;PRE SAINT-GERVAIS;353892;7bis;;;;;Paris;19
34;RER;LA CROIX DE BERNY;2987262;B;;;;;Antony;
40;RER;ORSAY-VILLE;2286955;B;;;;;Orsay;
26;Metro;TROCADERO;8895309;6;9;;;;Paris;16
30;Metro;LA MOTTE-PICQUET-GRENELLE;7972850;6;8;10;;;Paris;15
37;Metro;CHATILLON-MONTROUGE;7124158;13;;;;;Chatillon;
46;Metro;STALINGRAD;6629154;2;5;7;;;Paris;19
87;Metro;REAUMUR-SEBASTOPOL;4935953;3;4;;;;Paris;3
127;Metro;DUPLEIX;3852225;6;;;;;Paris;15
166;Metro;SAINT-MAUR;3230397;3;;;;;Paris;11
225;Metro;RUE DU BAC;2346931;12;;;;;Paris;7
263;Metro;MABILLON;1794086;10;;;;;Paris;6
284;Metro;PICPUS;1321636;6;;;;;Paris;12
63;RER;MASSY-VERRIERES;586015;B;;;;;Massy;
62;Metro;PIGALLE;5890360;2;12;;;;Paris;18
138;Metro;PORTE DES LILAS;3695614;3bis;11;;;;Paris;20
8;Metro;BIBLIOTHEQUE FRANCOIS MITTERRAND;16433305;14;;;;;Paris;13
42;Metro;PONT DE NEUILLY (AVENUE DE MADRID);6786803;1;;;;;Neuilly Sur Seine;
65;Metro;MARCEL SEMBAT;5783355;9;;;;;Boulogne Billancourt;
82;Metro;GLACIERE;5083429;6;;;;;Paris;13
186;Metro;BERAULT;2965952;1;;;;;Vincennes;
218;Metro;LOURMEL;2412341;8;;;;;Paris;15
220;Metro;LOUIS BLANC;2395333;7;7bis;;;;Paris;10
254;Metro;AVRON;1958808;2;;;;;Paris;11
296;Metro;PORTE D'AUTEUIL;671481;10;;;;;Paris;16
45;RER;GENTILLY;2031709;B;;;;;Gentilly;
155;Metro;JOURDAIN;3418774;11;;;;;Paris;20
175;Metro;CHARENTON-ECOLES;3078684;8;;;;;Charenton;
233;Metro;VILLEJUIF-PAUL VAILLANT-COUTURIER;2246780;7;;;;;Villejuif;
260;Metro;MALAKOFF-RUE �TIENNE DOLET;1832499;13;;;;;Malakoff;
73;Metro;BERCY;5352928;6;14;;;;Paris;12
185;Metro;ARGENTINE;2972019;1;;;;;Paris;17
206;Metro;JACQUES BONSERGENT;2591769;5;;;;;Paris;10
252;Metro;NOTRE-DAME-DES-CHAMPS;2016157;12;;;;;Paris;6
264;Metro;SAINT-SEBASTIEN FROISSART;1785413;8;;;;;Paris;3
51;RER;LOGNES;1584501;A;;;;;Lognes;
3;Metro;GARE DE LYON;35926081;1;14;A;;;Paris;12
10;Metro;BASTILLE;13438906;1;5;8;;;Paris;12
86;Metro;SAINT-DENIS-UNIVERSITE;4969367;13;;;;;Saint Denis;
150;Metro;DUROC;3509587;10;13;;;;Paris;7
243;Metro;MICHEL-ANGE-MOLITOR;2101155;9;10;;;;Paris;16
261;Metro;FELIX FAURE;1810078;8;;;;;Paris;15
271;Metro;CHATEAU-LANDON;1663800;7;;;;;Paris;10
288;Metro;TEMPLE;1239969;3;;;;;Paris;2
292;Metro;BOTZARIS;976263;7bis;;;;;Paris;19
1;Metro;GARE DU NORD;50793797;4;5;;;;Paris;10
69;Metro;LA COURNEUVE 8 MAI 1945;5662148;7;;;;;La Courneuve;
118;Metro;LA MUETTE;4050143;9;;;;;Paris;16
129;Metro;LEDRU-ROLLIN;3820123;8;;;;;Paris;12
154;Metro;BROCHANT;3434660;13;;;;;Paris;17
161;Metro;GARIBALDI;3341274;13;;;;;Saint Ouen;
274;Metro;SEGUR;1635557;10;;;;;Paris;15
37;RER;NOISIEL;2687790;A;;;;;Noisiel;
15;Metro;FRANKLIN-D.ROOSEVELT;11571562;1;9;;;;Paris;8
31;Metro;HAVRE-CAUMARTIN;7506005;3;9;;;;Paris;9
13;RER;ANTONY;6320636;B;;;;;Antony;
32;RER;LAPLACE;3336242;B;;;;;Arcueil;
35;Metro;MAIRIE DE CLICHY;7138355;13;;;;;Clichy;
102;Metro;ECOLE MILITAIRE;4565508;8;;;;;Paris;7
137;Metro;PORTE DE LA VILLETTE;3712707;7;;;;;Paris;19
172;Metro;BOULOGNE-PONT DE SAINT CLOUD;3081186;10;;;;;Boulogne Billancourt;
231;Metro;VAVIN;2275955;4;;;;;Paris;14
239;Metro;MAISONS-ALFORT-LES JUILLIOTTES;2124343;8;;;;;Maisons -Alfort;
272;Metro;MONCEAU;1662064;2;;;;;Paris;17
4;RER;CHATELET-LES HALLES-RER;26017693;A;B;;;;Paris;1
64;Metro;LES SABLONS (JARDIN D'ACCLIMATATION);5795500;1;;;;;Neuilly Sur Seine;
77;Metro;ALESIA;5124204;4;;;;;Paris;14
222;Metro;MAUBERT-MUTUALITE;2362705;10;;;;;Paris;5
4;Metro;MONTPARNASSE;31229210;4;6;12;13;;Paris;14
29;Metro;SAINT-MICHEL;8072295;4;;;;;Paris;5
36;Metro;AUBERVILLIERS-PANTIN (QUATRE CHEMINS);7131674;7;;;;;Aubervilliers;
68;Metro;MAIRIE DE MONTROUGE;5757464;4;;;;;Montrouge;
76;Metro;GABRIEL PERI-ASNIERES-GENNEVILLIERS;5235722;13;;;;;AsniՌres;
205;Metro;CRETEIL-POINTE DU LAC;2595126;8;;;;;Creteil;
299;Metro;BOLIVAR;569990;7bis;;;;;Paris;19
57;RER;PALAISEAU-VILLEBON;885207;B;;;;;Palaiseau;
112;Metro;SAINT-GERMAIN DES PRES;4271760;4;;;;;Paris;6
131;Metro;ANATOLE FRANCE;3780611;3;;;;;Levallois-Perret;
162;Metro;FUNICULAIRE;3299668;2;;;;;Paris;18
173;Metro;RUE DE LA POMPE (AVENUE GEORGES MANDEL)E (AVENUE GEORGES MANDEL);3080833;9;;;;;Paris;16
201;Metro;NATIONALE;2666856;6;;;;;Paris;13
204;Metro;RUE DES BOULETS;2598900;9;;;;;Paris;11
298;Metro;DANUBE;636385;7bis;;;;;Paris;19
8;RER;CHARLES DE GAULLE-ETOILE-RER;8495803;A;;;;;Paris;17
15;RER;RUEIL-MALMAISON;5939819;A;;;;;Rueil-Malmaison;
128;Metro;PASSY;3826751;6;;;;;Paris;16
197;Metro;SAINT-PHILIPPE-DU-ROULE;2775382;9;;;;;Paris;8
276;Metro;PONT-MARIE (CITE DES ARTS);1623168;7;;;;;Paris;4
20;RER;DENFERT-ROCHEREAU-RER;4532274;B;;;;;Paris;14
7;Metro;LES HALLES;17384446;4;;;;;Paris;1
34;Metro;GAMBETTA;7142788;3;3bis;;;;Paris;20
99;Metro;COLONEL FABIEN;4644115;2;;;;;Paris;10
135;Metro;PORTE DE SAINT-OUEN;3739205;13;;;;;Paris;17
193;Metro;NOTRE-DAME-DE-LORETTE;2853470;12;;;;;Paris;9
203;Metro;MALESHERBES;2604947;3;;;;;Paris;17
215;Metro;RIQUET;2423268;7;;;;;Paris;19
236;Metro;CITE;2180696;4;;;;;Paris;4
245;Metro;BOISSIERE;2069921;6;;;;;Paris;16
300;Metro;BUTTES-CHAUMONT;448126;7bis;;;;;Paris;19
53;RER;FONTENAY-AUX-ROSES;1090737;B;;;;;Fontenay aux roses;
301;Metro;PELLEPORT;363122;3bis;;;;;Paris;20
6;RER;VAL DE FONTENAY;12299505;A;;;;;Fontenay-sous-Bois;
14;Metro;PLACE D'ITALIE;11631649;5;6;7;;;Paris;13
33;Metro;BOBIGNY-PABLO PICASSO;7251717;5;;;;;Bobigny;
98;Metro;MAIRIE DES LILAS;4647162;11;;;;;Les Lilas;
181;Metro;LAMARCK-CAULAINCOURT;2993657;12;;;;;Paris;18
192;Metro;ROME;2863071;2;;;;;Paris;17
198;Metro;PORTE DOREE;2770338;8;;;;;Paris;12
60;RER;SCEAUX;711545;B;;;;;sceaux;
148;Metro;PORTE DE CHAMPERRET;3535763;3;;;;;Paris;17
226;Metro;RANELAGH;2346828;9;;;;;Paris;16
136;Metro;SAINT-DENIS-PORTE DE PARIS;3729178;13;;;;;Saint Denis;
229;Metro;LES AGNETTES-ASNIERES-GENNEVILLIERS;2325129;13;;;;;AsniՌres sur Seine;
26;RER;VAL D'EUROPE;3775234;A;;;;;Serris;
44;RER;CHATOU-CROISSY;2064380;A;;;;;Chatou;
29;RER;NANTERRE-VILLE;3447880;A;;;;;Nanterre;
9;Metro;LA DEFENSE-GRANDE ARCHE;15044588;1;;;;;Puteaux;
64;RER;COURCELLE-SUR-YVETTE;585787;B;;;;;Gif sur Yvette;
70;Metro;CONVENTION;5475951;12;;;;;Paris;15
117;Metro;BLANCHE;4090091;2;;;;;Paris;9
121;Metro;CHARONNE;3979528;9;;;;;Paris;12
149;Metro;CRETEIL-UNIVERSITE;3530174;8;;;;;Creteil;
167;Metro;BOUCICAUT;3190091;8;;;;;Paris;15
223;Metro;TELEGRAPHE;2360717;11;;;;;Paris;20
297;Metro;CHARDON-LAGACHE;640997;10;;;;;Paris;16
50;Metro;INVALIDES;6583254;8;13;;;;Paris;7
56;Metro;VILLIERS;6178884;2;3;;;;Paris;17
57;Metro;GEORGE V;6127964;1;;;;;Paris;8
79;Metro;RUE DE LA POMPE (AVENUE GEORGES MANDEL);5113473;9;;;;;Paris;11
130;Metro;VICTOR HUGO;3804427;2;;;;;Paris;16
133;Metro;BOULOGNE-JEAN JAURES;3757980;10;;;;;Boulogne Billancourt;
217;Metro;BOBIGNY-PANTIN (RAYMOND QUENEAU);2412852;5;;;;;Pantin;
44;Metro;VILLEJUIF-LOUIS ARAGON;6661476;7;;;;;Villejuif;
48;Metro;CRIMEE;6613387;7;;;;;Paris;19
58;Metro;GALLIENI (PARC DE BAGNOLET) ;6075015;3;;;;;Bagnolet;
93;Metro;BONNE NOUVELLE;4799450;8;9;;;;Paris;10
109;Metro;MENILMONTANT;4359246;2;;;;;Paris;11
156;Metro;CADET;3408172;7;;;;;Paris;9
287;Metro;RENNES;1241237;12;;;;;Paris;6
42;RER;SUCY-BONNEUIL;2149877;A;;;;;Sucy-en-Brie;
119;Metro;PORTE DE CLICHY;4039039;13;;;;;Paris;17
125;Metro;OURCQ;3903423;5;;;;;Paris;19
187;Metro;SIMPLON;2957190;4;;;;;Paris;18
191;Metro;PORTE DAUPHINE;2866342;2;;;;;Paris;16
262;Metro;MAISONS-ALFORT-STADE;1807992;8;;;;;Maisons -Alfort;
9;RER;SAINT-MICHEL-NOTRE-DAME;7806419;B;;;;;Paris;
27;RER;JOINVILLE-LE-PONT;3665186;A;;;;;Joinville-le-Pont;
195;Metro;SAINT-AMBROISE;2791395;9;;;;;Paris;11
266;Metro;MONTGALLET;1767323;8;;;;;Paris;12
273;Metro;CARDINAL-LEMOINE ;1657283;10;;;;;Paris;5
286;Metro;CAMPO-FORMIO;1256651;5;;;;;Paris;13
55;RER;SAINT-REMY-LES-CHEVREUSE;934900;B;;;;;St-Remy-LՌs-Chevreuse;
139;Metro;MALAKOFF-PLATEAU DE VANVES;3693265;13;;;;;Malakoff;
228;Metro;CRETEIL-L'ECHAT (HOPITAL MONDOR);2334535;8;;;;;Creteil;
234;Metro;TRINITE-D'ESTIENNE D'ORVES;2236406;12;;;;;Paris;9
6;Metro;REPUBLIQUE;18530849;3;5;8;9;11;Paris;11
43;Metro;PORTE D'ORLEANS;6736894;4;;;;;Paris;14
60;Metro;PORTE DE VERSAILLES;5938320;12;;;;;Paris;15
85;Metro;PONT DE LEVALLOIS-BECON;4969844;3;;;;;Levallois-Perret;
170;Metro;PLACE DES FETES;3130045;7bis;11;;;;Paris;19
176;Metro;PORTE DE CHOISY;3073748;7;;;;;Paris;13
190;Metro;COMMERCE;2890759;8;;;;;Paris;15
202;Metro;TUILERIES;2607243;1;;;;;Paris;1
221;Metro;IENA;2374498;9;;;;;Paris;16
227;Metro;SOLFERINO;2342976;12;;;;;Paris;7
23;RER;BOURG-LA-REINE;4189127;B;;;;;Bourg la Reine;
39;RER;BOISSY-SAINT-LEGER;2349546;A;;;;;Boissy-Saint-Leger;
52;RER;LE VESINET-CENTRE;1210783;A;;;;;Le Vesinet;
66;RER;LA HACQUINIERE;434450;B;;;;;Bures sur Yvette;
2;Metro;SAINT-LAZARE;45309544;3;9;12;13;14;Paris;8
53;Metro;ANVERS;6432199;2;;;;;Paris;18
80;Metro;PORTE DE PANTIN;5103076;5;;;;;Paris;19
84;Metro;CRETEIL-PREFECTURE;4986457;8;;;;;Creteil;
94;Metro;BASILIQUE DE SAINT-DENIS;4782355;13;;;;;Saint Denis;
180;Metro;PLACE MONGE (JARDIN DES PLANTES);2995211;7;;;;;Paris;6
259;Metro;PHILIPPE AUGUSTE;1854806;2;;;;;Paris;11
22;Metro;BARBES-ROCHECHOUART;9174366;2;4;;;;Paris;18
23;Metro;PORTE MAILLOT;8976380;1;;;;;Paris;16
100;Metro;PEREIRE-LEVALLOIS;4643622;3;;;;;Paris;17
123;Metro;ARTS ET METIERS;3908721;3;11;;;;Paris;3
17;RER;MARNE-LA-VALLEE-CHESSY;5246229;A;;;;;Montevrain;
18;RER;NEUILLY-PLAISANCE;5039115;A;;;;;Neuilly-sur-Seine;
54;RER;PALAISEAU;985245;B;;;;;Palaiseau;
246;Metro;BREGUET-SABIN;2065295;5;;;;;Paris;11
251;Metro;JASMIN;2017822;9;;;;;Paris;16
294;Metro;FALGUIERE;875978;12;;;;;Paris;15
1;RER;GARE DU NORD-RER;47759711;B;;;;;Paris;10
11;RER;CITE UNIVERSITAIRE;6662323;B;;;;;Paris;14
21;RER;NOISY-CHAMPS;4433525;A;;;;;Champs-sur-Marne;
35;RER;BUSSY-SAINT-GEORGES;2908666;A;;;;;Bussy-Saint-Georges;
194;Metro;JAVEL;2813391;10;;;;;Paris;15
199;Metro;MARAICHERS;2726569;9;;;;;Paris;20
210;Metro;FRONT POPULAIRE;2561027;12;;;;;Saint Denis / Aubervilliers;
238;Metro;EDGAR QUINET;2165227;6;;;;;Paris;14
279;Metro;CHEMIN VERT;1472562;8;;;;;Paris;11
22;RER;NATION-RER;4353821;A;;;;;Paris;12
30;RER;CHAMPIGNY;3385631;A;;;;;Saint-Maur des Fosses;
27;Metro;PORTE DE CLIGNANCOURT;8471130;4;;;;;Paris;18
47;Metro;LA CHAPELLE;6622224;2;;;;;Paris;9
92;Metro;PERE LACHAISE;4824175;2;3;;;;Paris;20
122;Metro;OBERKAMPF;3978333;5;9;;;;Paris;11
132;Metro;FORT D'AUBERVILLIERS;3766935;7;;;;;Aubervilliers;
32;Metro;CHAUSSEE D'ANTIN (LA FAYETTE);7395270;7;9;;;;Paris;9
38;Metro;OLYMPIADES;6993593;14;;;;;Paris;13
63;Metro;MIROMESNIL;5884392;9;13;;;;Paris;8
72;Metro;DAUMESNIL;5379401;6;8;;;;Paris;12
110;Metro;LE KREMLIN-BICETRE;4344822;7;;;;;Kremlin-BicՎtre;
115;Metro;ALMA-MARCEAU;4204705;9;;;;;Paris;8
214;Metro;CLUNY-LA-SORBONNE;2435070;10;;;;;Paris;5
25;RER;TORCY;3852727;A;;;;;Torcy;
61;RER;BURES-SUR-YVETTE;685712;B;;;;;Bures sur Yvette;
126;Metro;CHATEAU D'EAU;3893262;4;;;;;Paris;10
143;Metro;EGLISE DE PANTIN;3597030;5;;;;;Pantin;
160;Metro;QUAI DE LA GARE;3366477;6;;;;;Paris;13
196;Metro;LA FOURCHE;2786656;13;;;;;Paris;8
211;Metro;WAGRAM;2547291;3;;;;;Paris;17
41;Metro;CHATEAU ROUGE;6799970;4;;;;;Paris;18
157;Metro;BOURSE;3371639;3;;;;;Paris;2
232;Metro;LE PELETIER;2258174;7;;;;;Paris;9
256;Metro;QUATRE SEPTEMBRE;1880560;3;;;;;Paris;2
277;Metro;EUROPE;1557149;3;;;;;Paris;8
282;Metro;PIERRE CURIE;1457937;7;;;;;Ivry;
5;RER;NANTERRE-PREFECTURE;21984721;A;;;;;Nanterre;
25;Metro;CHARLES DE GAULLE ETOILE;8910878;1;2;6;;;Paris;8
144;Metro;LOUISE MICHEL;3583779;3;;;;;Levallois-Perret;
267;Metro;MOUTON-DUVERNET;1755408;4;;;;;Paris;14
295;Metro;SAINT-FARGEAU;775725;3bis;;;;;Paris;8
303;Metro;EGLISE D'AUTEUIL;174893;10;;;;;Paris;16
3;RER;LA DEFENSE-RER;28908710;A;;;;;Puteaux;
28;Metro;BIR-HAKEIM (GRENELLE);8366692;6;;;;;Paris;15
188;Metro;CARREFOUR PLEYEL;2933248;13;;;;;Saint Denis;
219;Metro;DUGOMMIER;2405462;6;;;;;Paris;12
293;Metro;VANEAU;960528;10;;;;;Paris;7
12;RER;VINCENNES;6526978;A;;;;;Vincennes;
59;Metro;SAINT-MANDE;6006377;1;;;;;Saint Mande;
74;Metro;PORTE DE SAINT-CLOUD;5244402;9;;;;;Paris;16
78;Metro;CROIX DE CHAVAUX (JACQUES DUCLOS);5116243;9;;;;;Montreuil;
88;Metro;HOCHE;4896236;5;;;;;Pantin;
159;Metro;PYRENEES;3370640;11;;;;;Paris;20
242;Metro;MICHEL-ANGE-AUTEUIL;2107124;9;10;;;;Paris;16
250;Metro;PORTE DE CHARENTON;2025127;8;;;;;Paris;12
265;Metro;RASPAIL;1777217;4;6;;;;Paris;14
16;RER;LUXEMBOURG;5670876;B;;;;;Paris;5
24;RER;SAINT-GERMAIN-DES-PRES;4164347;A;;;;;Saint-Germain-en-Laye;
28;RER;SAINT-MAUR-CRETEIL;3516120;A;;;;;Saint-Maur des Fosses;
62;RER;FONTAINE-MICHALON;670654;B;;;;;Antony;
